# date	semester	label
2027-01-27	semester-1	Semester 1 Exams (Grade 9-12 students)
2027-01-28	semester-1	Semester 1 Exams (Grade 9-12 students)
2027-01-29	semester-1	Semester 1 Exams (Grade 9-12 students)
2027-02-01	semester-1	Semester 1 Exams (Grade 9-12 students)
2027-02-02	semester-1	Semester 1 Exams (Grade 9-12 students)
2027-06-21	semester-2	Semester 2 Exams (Grade 9-12 students)
2027-06-22	semester-2	Semester 2 Exams (Grade 9-12 students)
2027-06-23	semester-2	Semester 2 Exams (Grade 9-12 students)
2027-06-24	semester-2	Semester 2 Exams (Grade 9-12 students)
2027-06-25	semester-2	Semester 2 Exams (Grade 9-12 students)
