# date	semester	announcements (separate multiple announcements with ` || `)
2026-09-14	semester-1	
2026-09-15	semester-1	
2026-09-16	semester-1	**Coming up in 2 school days:** Grade 11 Code of Conduct Assembly (AUD) (Period 3, 12:00-1:25 PM) [Grade 11 students].
2026-09-17	semester-1	**Faith & Creed calendar:** Yom Kippur (Judaism) - Red Dot / Open Dot is Monday, September 21, 2026. Avoid major evaluated events or due dates on a Red Dot day.
2026-09-18	semester-1	**Today:** Grade 11 Code of Conduct Assembly (AUD) (Period 3, 12:00-1:25 PM) [Grade 11 students]. || **Open Dot reminder:** Yom Kippur (Judaism) - Red Dot / Open Dot is tomorrow. The observance begins at sunset this evening; avoid evening events.
2026-09-21	semester-1	**Coming up in 2 school days:** Post Secondary Assembly (Period 1, 8:30-9:45 AM). || **Faith & Creed calendar today:** Yom Kippur (Judaism) - Red Dot / Open Dot. No major evaluated events or due dates should be scheduled today.
2026-09-22	semester-1	**Coming up in 2 school days:** Post Secondary Assembly (Period 2, 9:50-11:05 AM).
2026-09-23	semester-1	**Today:** Post Secondary Assembly (Period 1, 8:30-9:45 AM). || **Coming up in 2 school days:** Post Secondary Assembly (Period 1, 8:30-9:45 AM).
2026-09-24	semester-1	**Today:** Post Secondary Assembly (Period 2, 9:50-11:05 AM).
2026-09-25	semester-1	**Today:** Post Secondary Assembly (Period 1, 8:30-9:45 AM).
2026-09-28	semester-1	**Coming up in 2 school days:** Truth & Reconciliation Day / Orange Shirt Day.
2026-09-29	semester-1	
2026-09-30	semester-1	**Today:** Truth & Reconciliation Day / Orange Shirt Day.
2026-10-01	semester-1	**Coming up in 2 school days:** Fire Drill #3 of 3 (Semester 1) (9:30 AM).
2026-10-02	semester-1	
2026-10-05	semester-1	**Today:** Fire Drill #3 of 3 (Semester 1) (9:30 AM).
2026-10-06	semester-1	**Coming up in 2 school days:** Photo Day #3.
2026-10-07	semester-1	
2026-10-08	semester-1	**Today:** Photo Day #3. || **Tomorrow is a half day.** Classes run 8:30 AM-11:05 AM. || **Coming up:** Thanksgiving Day. || **Reporting cycle:** Early Progress Report Card - Data Entry Deadline is Tuesday, October 20, 2026 (3:00 PM). Check missing or incomplete work now. There are 7 school/contact days until marks are due.
2026-10-09	semester-1	**Half day today:** Period 1 8:30-9:05; Period 2 9:10-9:45; Period 3 9:50-10:25; Period 4 10:30-11:05. Dismissal 11:05 AM. || **Reminder:** Thanksgiving Day.
2026-10-13	semester-1	
2026-10-14	semester-1	
2026-10-15	semester-1	
2026-10-16	semester-1	**Submission cutoff for this reporting cycle:** today is the last day to submit outstanding work if you want me to have two school/contact days to assess it before Early Progress Report Card - Data Entry Deadline on Tuesday, October 20, 2026. || **Faith & Creed calendar:** Vijaya Dashmi / Dassehra (Hinduism) - Red Dot is Tuesday, October 20, 2026. Avoid major evaluated events or due dates on a Red Dot day.
2026-10-19	semester-1	
2026-10-20	semester-1	**Reporting deadline today:** Early Progress Report Card - Data Entry Deadline (3:00 PM). Work submitted after the announced cutoff may not appear in this reporting update. || **Coming up in 2 school days:** Early Progress Reports Sent Home. || **Coming up in 2 school days:** Open House Night (6:00-8:00 PM). || **Faith & Creed calendar today:** Vijaya Dashmi / Dassehra (Hinduism) - Red Dot. No major evaluated events or due dates should be scheduled today.
2026-10-21	semester-1	
2026-10-22	semester-1	**Today:** Early Progress Reports Sent Home. || **Today:** Open House Night (6:00-8:00 PM). || **Coming up:** PL Day - no school for students.
2026-10-23	semester-1	**Reminder:** PL Day - no school for students.
2026-10-27	semester-1	
2026-10-28	semester-1	
2026-10-29	semester-1	
2026-10-30	semester-1	
2026-11-02	semester-1	
2026-11-03	semester-1	
2026-11-04	semester-1	**Reporting cycle:** All Mid-Term Report Card Data Due is Friday, November 13, 2026 (No later than 2:45 PM). Check missing or incomplete work now. There are 7 school/contact days until marks are due.
2026-11-05	semester-1	**Faith & Creed calendar:** Diwali (Hinduism) - Red Dot is Sunday, November 8, 2026. || **Faith & Creed calendar:** Bandi Chhor Divas (Sikhism) - Red Dot is Sunday, November 8, 2026.
2026-11-06	semester-1	**Faith & Creed reminder:** Diwali (Hinduism) - Red Dot is Sunday, November 8, 2026. || **Faith & Creed reminder:** Bandi Chhor Divas (Sikhism) - Red Dot is Sunday, November 8, 2026. || **Faith & Creed calendar:** Enlightenment Day of Gautamswami (Jainism) - Red Dot is Tuesday, November 10, 2026. Avoid major evaluated events or due dates on a Red Dot day.
2026-11-09	semester-1	
2026-11-10	semester-1	**Faith & Creed calendar today:** Enlightenment Day of Gautamswami (Jainism) - Red Dot. No major evaluated events or due dates should be scheduled today.
